No,Date,Time,Voltage (V),Current (A),Power (W),Energy (kWh),Frequency (Hz),PF
141,1/11/2026,4:32:00,198.2,0.26,17.5,8.46,50,0.34
142,1/11/2026,4:30:00,201.6,0.3,21.5,8.46,50,0.36
143,1/11/2026,4:28:00,202,0.25,17.4,8.46,49.9,0.34
144,1/11/2026,4:26:00,202.7,0.25,17.3,8.45,50,0.33
145,1/11/2026,4:24:00,202.2,0.26,17.5,8.45,50,0.34
146,1/11/2026,4:22:00,202.3,0.27,18.6,8.45,49.9,0.35
147,1/11/2026,4:20:00,202.2,0.26,17.4,8.45,50,0.34
148,1/11/2026,4:18:00,201.7,0.25,16.4,8.45,49.9,0.33
149,1/11/2026,4:16:00,202,0.25,16.3,8.45,50,0.33
150,1/11/2026,4:14:00,203.8,0.25,17,8.45,50,0.33
151,1/11/2026,4:12:00,203.1,0.25,16.1,8.45,50,0.32
152,1/11/2026,4:10:00,201.6,0.29,20.7,8.45,50,0.35
153,1/11/2026,4:08:00,202.2,0.25,16.3,8.45,50,0.33
154,1/11/2026,4:06:00,205.7,0.25,16.4,8.45,50,0.32
155,1/11/2026,4:04:00,206.5,0.25,16,8.45,50,0.32
156,1/11/2026,4:02:00,206.4,0.25,17,8.45,49.9,0.32
157,1/11/2026,4:00:00,206.4,0.25,17.1,8.45,49.9,0.33
158,1/11/2026,3:58:00,205.4,0.27,19,8.45,49.9,0.34
159,1/11/2026,3:56:00,206,0.25,17.1,8.45,50,0.33
160,1/11/2026,3:54:00,203.7,0.26,17.3,8.45,50,0.33
161,1/11/2026,3:52:00,202.9,0.25,17.3,8.44,50,0.33
162,1/11/2026,3:50:00,203.9,0.25,17.2,8.44,50,0.33
163,1/11/2026,3:48:00,201.1,0.26,17.7,8.44,50,0.33
164,1/11/2026,3:46:00,201.4,0.27,18.9,8.44,50,0.35
165,1/11/2026,3:44:00,202.4,0.26,17.4,8.44,50,0.33
166,1/11/2026,3:42:00,204.8,0.26,17.1,8.44,49.9,0.33
167,1/11/2026,3:40:00,204.3,0.26,17.4,8.44,50,0.33
168,1/11/2026,3:38:00,204.5,0.26,18.2,8.44,50,0.34
169,1/11/2026,3:36:00,202.5,0.26,17.6,8.44,49.9,0.33
170,1/11/2026,3:34:00,202.5,0.27,18.4,8.44,50,0.34
171,1/11/2026,3:32:00,200.9,0.28,19.1,8.44,50,0.34
172,1/11/2026,3:30:00,203.5,0.27,18.3,8.44,49.9,0.34
173,1/11/2026,3:28:00,203.2,0.26,17.4,8.44,50,0.33
174,1/11/2026,3:26:00,205.1,0.26,17.6,8.44,50,0.33
175,1/11/2026,3:24:00,203.7,0.28,19,8.44,49.9,0.34
176,1/11/2026,3:22:00,202.8,0.27,18.6,8.44,50,0.34
177,1/11/2026,3:20:00,200.5,0.26,17.4,8.44,50,0.33
178,1/11/2026,3:18:00,202.2,0.26,17.9,8.44,50,0.33
179,1/11/2026,3:16:00,203.3,0.26,17.7,8.43,49.9,0.33
180,1/11/2026,3:14:00,204.8,0.26,17.3,8.43,50,0.33
181,1/11/2026,3:12:00,205.8,0.26,17.5,8.43,50,0.33
182,1/11/2026,3:10:00,205,0.27,19,8.43,50,0.34
183,1/11/2026,3:08:00,207.2,0.25,17.1,8.43,49.9,0.32
184,1/11/2026,3:06:00,206.4,0.25,17.1,8.43,50,0.32
185,1/11/2026,3:04:00,206.7,0.26,17.6,8.43,50,0.33
186,1/11/2026,3:02:00,202.7,0.26,17.5,8.43,49.9,0.34
187,1/11/2026,3:00:00,202.9,0.26,18.1,8.43,50,0.34
188,1/11/2026,2:58:00,204.1,0.26,17.4,8.43,50,0.33
189,1/11/2026,2:56:00,206,0.26,17.5,8.43,50,0.33
190,1/11/2026,2:54:00,204.2,0.26,17.5,8.43,50,0.33
191,1/11/2026,2:52:00,202.6,0.26,17.2,8.43,49.9,0.33
192,1/11/2026,2:50:00,205.6,0.26,17.1,8.43,50,0.32
193,1/11/2026,2:48:00,202.2,0.26,17.4,8.43,50,0.33
194,1/11/2026,2:46:00,203.5,0.26,17.4,8.43,50,0.33
195,1/11/2026,2:44:00,203.6,0.26,17.3,8.43,50,0.33
196,1/11/2026,2:42:00,203.9,0.26,17.4,8.42,50,0.33
197,1/11/2026,2:40:00,200.2,0.26,17.3,8.42,50,0.33
198,1/11/2026,2:38:00,201.4,0.26,17.5,8.42,50,0.33
199,1/11/2026,2:36:00,201.3,0.27,18.9,8.42,50,0.34
200,1/11/2026,2:34:00,202.5,0.26,17.6,8.42,50,0.33
201,1/11/2026,2:32:00,205.3,0.26,17.3,8.42,50,0.33
202,1/11/2026,2:30:00,204.7,0.26,17.2,8.42,49.9,0.32
203,1/11/2026,2:28:00,204.6,0.26,17.1,8.42,50,0.33
204,1/11/2026,2:26:00,203.7,0.25,17,8.42,50,0.33
205,1/11/2026,2:24:00,200.8,0.26,17.6,8.42,50,0.34
206,1/11/2026,2:22:00,202,0.25,16.3,8.42,50,0.33
207,1/11/2026,2:20:00,203.1,0.25,16.4,8.42,50,0.33
208,1/11/2026,2:18:00,203.1,0.25,16.4,8.42,50,0.33
209,1/11/2026,2:16:00,200.7,0.25,16.2,8.42,49.9,0.33
210,1/11/2026,2:14:00,200.5,0.25,16.3,8.42,50,0.33
211,1/11/2026,2:12:00,202.7,0.27,18.7,8.41,50,0.35
212,1/11/2026,2:10:00,201.4,0.33,25.5,8.41,50,0.38
213,1/11/2026,2:08:00,201.3,0.25,17.4,8.41,49.9,0.34
214,1/11/2026,2:06:00,201.7,0.26,17.8,8.41,50,0.34
215,1/11/2026,2:04:00,202.9,0.25,17.2,8.41,49.9,0.34
216,1/11/2026,2:02:00,203.9,0.26,17.5,8.41,50,0.33
217,1/11/2026,2:00:00,203.7,0.26,18.1,8.41,50,0.34
218,1/11/2026,1:58:00,204.5,0.25,17.2,8.41,50,0.33
219,1/11/2026,1:56:00,204.3,0.26,17.5,8.41,50,0.33
220,1/11/2026,1:54:00,203.5,0.26,17.5,8.41,50,0.33
221,1/11/2026,1:52:00,202,0.26,18,8.41,50,0.34
222,1/11/2026,1:50:00,201.6,0.25,16.5,8.41,50,0.33
223,1/11/2026,1:48:00,201.7,0.25,16.5,8.41,50,0.33
224,1/11/2026,1:46:00,203.2,0.26,17.8,8.41,50,0.34
225,1/11/2026,1:44:00,203,0.26,18,8.41,50,0.34
226,1/11/2026,1:42:00,203.6,0.26,18.4,8.41,50,0.34
227,1/11/2026,1:40:00,202.7,0.26,17.7,8.41,50,0.34
228,1/11/2026,1:38:00,203.6,0.26,17.6,8.4,50,0.34
229,1/11/2026,1:36:00,203,0.26,17.8,8.4,49.9,0.34
230,1/11/2026,1:34:00,202.9,0.26,17.6,8.4,50,0.34
231,1/11/2026,1:32:00,202.2,0.25,17.5,8.4,50,0.34
232,1/11/2026,1:30:00,202.5,0.26,18,8.4,50,0.34
233,1/11/2026,1:28:00,198.7,0.26,17.7,8.4,50,0.35
234,1/11/2026,1:26:00,199.1,0.26,18.4,8.4,49.9,0.35
235,1/11/2026,1:24:00,201.1,0.25,16.7,8.4,50,0.34
236,1/11/2026,1:22:00,203.1,0.25,16.5,8.4,50,0.33
237,1/11/2026,1:20:00,203.8,0.24,16.2,8.4,50,0.33
238,1/11/2026,1:18:00,201.6,0.25,16.4,8.4,49.9,0.33
239,1/11/2026,1:16:00,202.1,0.25,16.4,8.4,50,0.33
240,1/11/2026,1:14:00,201.5,0.25,17.2,8.4,50,0.34
241,1/11/2026,1:12:00,203,0.25,16.5,8.4,49.9,0.33
242,1/11/2026,1:10:00,201.8,0.25,16.4,8.4,50,0.33
243,1/11/2026,1:08:00,204.7,0.25,16.4,8.4,50,0.33
244,1/11/2026,1:06:00,203.1,0.25,16.5,8.4,50,0.33
245,1/11/2026,1:04:00,204.3,0.25,16.4,8.4,50,0.33
246,1/11/2026,1:02:00,204.5,0.25,17.1,8.39,50,0.33
247,1/11/2026,1:00:00,207.1,0.27,19.5,8.39,50,0.34
248,1/11/2026,0:58:00,206.3,0.25,16.4,8.39,50,0.32
249,1/11/2026,0:56:00,204.5,0.25,16.8,8.39,50,0.33
250,1/11/2026,0:54:00,204.7,0.25,16.6,8.39,50,0.33
251,1/11/2026,0:52:00,204.7,0.24,16.4,8.39,50,0.33
252,1/11/2026,0:50:00,203.3,0.28,21,8.39,50,0.36
253,1/11/2026,0:48:00,203.4,0.24,16.5,8.39,50,0.33
254,1/11/2026,0:46:00,202.2,0.26,18.8,8.39,50,0.36
255,1/11/2026,0:44:00,199.5,0.36,34.7,8.39,50,0.48
256,1/11/2026,0:42:00,200.1,0.25,16.9,8.39,50,0.34
257,1/11/2026,0:40:00,200.8,0.27,20.2,8.39,50,0.37
258,1/11/2026,0:38:00,199,0.25,18.1,8.39,49.9,0.36
259,1/11/2026,0:36:00,201.7,0.25,17.8,8.39,50,0.35
260,1/11/2026,0:34:00,202.6,0.25,17.6,8.39,49.9,0.34
261,1/11/2026,0:32:00,203.1,0.25,17.5,8.39,49.9,0.34
262,1/11/2026,0:30:00,203.9,0.28,20.7,8.39,50,0.36
263,1/11/2026,0:28:00,203.4,0.26,17.9,8.38,49.9,0.34
264,1/11/2026,0:26:00,204.5,0.34,27,8.38,50,0.39
265,1/11/2026,0:24:00,202.7,0.26,18.7,8.38,50,0.35
266,1/11/2026,0:22:00,199.5,0.25,17.7,8.38,50,0.35
267,1/11/2026,0:20:00,199.2,0.31,23.8,8.38,50,0.39
268,1/11/2026,0:18:00,200.9,0.26,18.1,8.38,50,0.35
269,1/11/2026,0:16:00,198.8,0.26,18.4,8.38,50,0.36
270,1/11/2026,0:14:00,199,0.25,17.8,8.38,50,0.35
271,1/11/2026,0:12:00,196.6,0.24,16.8,8.38,49.9,0.35
272,1/11/2026,0:10:00,198.7,0.24,16.8,8.38,50,0.35
273,1/11/2026,0:08:00,197.3,0.24,16.7,8.38,49.9,0.35
274,1/11/2026,0:06:00,197.5,0.24,17,8.38,50,0.35
275,1/11/2026,0:04:00,196.8,0.25,17.4,8.38,50,0.36
276,1/11/2026,0:02:00,199,0.24,16.5,8.38,50,0.35
277,1/11/2026,0:00:00,197.3,0.24,16.8,8.38,49.9,0.35
278,1/10/2026,23:58:00,196.6,0.24,17.1,8.38,50,0.36
279,1/10/2026,23:56:00,199.2,0.24,16.5,8.37,50,0.35
280,1/10/2026,23:54:00,197.4,0.24,16.8,8.37,50,0.35
281,1/10/2026,23:52:00,200,0.25,17.3,8.37,50,0.35
282,1/10/2026,23:50:00,197.7,0.26,18.4,8.37,50,0.36
283,1/10/2026,23:48:00,199.2,0.24,17.1,8.37,50,0.35
284,1/10/2026,23:46:00,198.9,0.26,18.8,8.37,50,0.36
285,1/10/2026,23:44:00,194.6,0.26,19.1,8.37,50,0.37
286,1/10/2026,23:42:00,198.4,0.25,18,8.37,50,0.36
287,1/10/2026,23:40:00,199.7,0.26,19.1,8.37,50,0.36
288,1/10/2026,23:38:00,198.7,0.25,17.5,8.37,50,0.36
289,1/10/2026,23:36:00,197.7,0.25,18,8.37,50,0.36
290,1/10/2026,23:34:00,195.8,0.26,18.3,8.37,50,0.36
291,1/10/2026,23:32:00,199.2,0.25,17.8,8.37,50,0.35
292,1/10/2026,23:30:00,195.7,0.28,21.4,8.37,50,0.39
293,1/10/2026,23:28:00,198.3,0.25,17.6,8.37,50,0.36
294,1/10/2026,23:26:00,197.8,0.25,17.9,8.36,50,0.36
295,1/10/2026,23:24:00,197.8,0.25,17,8.36,50,0.35
296,1/10/2026,23:22:00,197.1,0.26,19,8.36,50,0.37
297,1/10/2026,23:20:00,197.6,0.24,16.8,8.36,50,0.35
298,1/10/2026,23:18:00,194.6,0.24,17.1,8.36,50,0.36
299,1/10/2026,23:16:00,195.9,0.24,16.8,8.36,50,0.36
300,1/10/2026,23:14:00,196.4,0.24,16.7,8.36,50,0.36
301,1/10/2026,23:12:00,200,0.24,16.7,8.36,50,0.35
302,1/10/2026,23:10:00,196.8,0.24,16.8,8.36,50,0.36
303,1/10/2026,23:08:00,197.7,0.24,16.6,8.36,50,0.35
304,1/10/2026,23:06:00,195.5,0.24,16.7,8.36,50,0.36
305,1/10/2026,23:04:00,197.1,0.25,17.9,8.36,50,0.37
306,1/10/2026,23:02:00,198.3,0.24,16.8,8.36,49.9,0.35
307,1/10/2026,23:00:00,196.1,0.26,18.9,8.36,50,0.38
308,1/10/2026,22:58:00,196.6,0.24,16.6,8.36,50,0.36
309,1/10/2026,22:56:00,197.4,0.24,16.6,8.36,50,0.35
310,1/10/2026,22:54:00,197.2,0.24,16.5,8.36,50,0.35
311,1/10/2026,22:52:00,196.2,0.24,16.9,8.35,50,0.36
312,1/10/2026,22:50:00,196.3,0.26,18.6,8.35,50,0.37
313,1/10/2026,22:48:00,195.5,0.3,24.4,8.35,50,0.41
314,1/10/2026,22:46:00,194.1,0.32,26,8.35,50,0.42
315,1/10/2026,22:44:00,194.3,0.31,25.4,8.35,50,0.42
316,1/10/2026,22:42:00,194.2,0.31,25.7,8.35,50,0.42
317,1/10/2026,22:40:00,195.8,0.35,29.7,8.35,50,0.44
318,1/10/2026,22:38:00,196.2,0.31,25.6,8.35,50,0.42
319,1/10/2026,22:36:00,195,0.31,25.5,8.35,50,0.42
320,1/10/2026,22:34:00,194.5,0.36,31.2,8.35,50,0.45
321,1/10/2026,22:32:00,195.8,0.31,25.5,8.35,50,0.42
322,1/10/2026,22:30:00,196.1,0.32,26.6,8.35,50,0.43
323,1/10/2026,22:28:00,194.7,0.31,25.5,8.35,50,0.42
324,1/10/2026,22:26:00,195.8,0.33,27.6,8.34,50,0.43
325,1/10/2026,22:24:00,194.5,0.3,24.4,8.34,50,0.42
326,1/10/2026,22:22:00,195.5,0.3,24.4,8.34,50,0.41
327,1/10/2026,22:20:00,195.3,0.3,24.9,8.34,50,0.42
328,1/10/2026,22:18:00,192.9,0.3,24.4,8.34,50,0.42
329,1/10/2026,22:16:00,193,0.3,24.7,8.34,50,0.42
330,1/10/2026,22:14:00,193.2,0.3,24.5,8.34,50,0.42
331,1/10/2026,22:12:00,191.9,0.3,24.4,8.34,49.9,0.42
332,1/10/2026,22:10:00,196.2,0.3,24.5,8.34,50,0.41
333,1/10/2026,22:08:00,194.8,0.3,24.4,8.34,50,0.41
334,1/10/2026,22:06:00,193.5,0.3,24.7,8.34,50,0.42
335,1/10/2026,22:04:00,195.2,0.31,25,8.34,49.9,0.42
336,1/10/2026,22:02:00,196.7,0.31,25.4,8.33,50,0.42
337,1/10/2026,22:00:00,197.5,0.32,26.4,8.33,50,0.42
338,1/10/2026,21:58:00,199.9,0.3,25.1,8.33,50,0.42
339,1/10/2026,21:56:00,194.9,0.31,25.3,8.33,50,0.43
340,1/10/2026,21:54:00,196.9,0.31,25.7,8.33,50,0.42
341,1/10/2026,21:52:00,192.9,0.31,26.1,8.33,50,0.43
342,1/10/2026,21:50:00,196.9,0.31,25.3,8.33,50,0.42
343,1/10/2026,21:48:00,194.2,0.3,25.2,8.33,50,0.43
344,1/10/2026,21:46:00,196.2,0.31,25.5,8.33,50,0.42
345,1/10/2026,21:44:00,195.7,0.31,26,8.33,50,0.43
346,1/10/2026,21:42:00,197.7,0.3,25.2,8.33,49.9,0.42
347,1/10/2026,21:40:00,196.2,0.32,25.7,8.32,50,0.41
348,1/10/2026,21:38:00,195.1,0.3,25.3,8.32,50,0.43
349,1/10/2026,21:36:00,191.1,0.31,25.6,8.32,50,0.43
350,1/10/2026,21:34:00,194.6,0.31,25.4,8.32,49.9,0.43
351,1/10/2026,21:32:00,194.3,0.31,25.7,8.32,50,0.43
352,1/10/2026,21:30:00,193.5,0.31,25.8,8.32,50,0.43
353,1/10/2026,21:28:00,195.7,0.31,25.5,8.32,50,0.43
354,1/10/2026,21:26:00,196.1,0.31,25.8,8.32,50,0.43
355,1/10/2026,21:24:00,193.9,0.36,31.1,8.32,49.9,0.45
356,1/10/2026,21:22:00,198.5,0.3,24.6,8.32,50,0.41
357,1/10/2026,21:20:00,198.3,0.3,24.6,8.32,50,0.41
358,1/10/2026,21:18:00,197.5,0.31,25.1,8.31,50,0.42
359,1/10/2026,21:16:00,196.5,0.3,24.9,8.31,50,0.42
360,1/10/2026,21:14:00,194.7,0.31,25.6,8.31,50,0.42
361,1/10/2026,21:12:00,194.2,0.31,25.7,8.31,50,0.42
362,1/10/2026,21:10:00,192.4,0.38,34.9,8.31,50,0.48
363,1/10/2026,21:08:00,196.6,0.32,26.9,8.31,49.9,0.43
364,1/10/2026,21:06:00,197,0.33,28.8,8.31,50,0.44
365,1/10/2026,21:04:00,199.4,0.38,34.7,8.31,50,0.45
366,1/10/2026,21:02:00,198.4,0.32,27.3,8.31,49.9,0.43
367,1/10/2026,21:00:00,197.2,0.32,27.7,8.31,50,0.44
368,1/10/2026,20:58:00,198.9,0.32,27.5,8.31,50,0.43
369,1/10/2026,20:56:00,197.1,0.33,27.9,8.31,49.9,0.43
370,1/10/2026,20:54:00,193.4,0.34,29.6,8.3,49.9,0.45
371,1/10/2026,20:52:00,193.5,0.32,26.8,8.3,50,0.44
372,1/10/2026,20:50:00,193.1,0.32,27.1,8.3,50,0.44
373,1/10/2026,20:48:00,194.3,0.25,19.3,8.3,50,0.39
374,1/10/2026,20:46:00,193.2,0.27,21.6,8.3,50,0.41
375,1/10/2026,20:44:00,192.9,0.28,22,8.3,49.9,0.4
376,1/10/2026,20:42:00,192.1,0.28,21.4,8.3,50,0.41
